sampleId	country	alabels	longitude	latitude	PC1	PC2
ind_21685	France	FR	2.39432767075193	46.6058680055316	0.016	0.0012
ind_22525	Swiss-French	CH	6.15	46.2	0.0095	-0.0042
ind_22986	Swiss-French	CH	6.15	46.2	0.017	-0.0017
ind_23002	Belgium	BE	4.61479191810973	50.6615342351454	0.0128	-0.0055
ind_23210	France	FR	2.39432767075193	46.6058680055316	0.0152	0.016
ind_23454	France	FR	2.39432767075193	46.6058680055316	0.0272	0.0064
ind_24860	Spain	ES	-3.56611484727657	40.3287080082217	-0.0069	0.0293
ind_25276	France	FR	2.39432767075193	46.6058680055316	-0.0027	0.019
ind_25560	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0187	0.0411
ind_26031	Italy	IT	12.5	42	-0.0604	-0.0248
ind_27874	Swiss-French	CH	6.15	46.2	0.014	0.0015
ind_29405	Swiss-French	CH	6.15	46.2	0.0066	0.0073
ind_29587	Russian Federation	RU	37.5	55.75	0.0349	-0.0504
ind_31142	Italy	IT	12.5	42	-0.0559	-0.0104
ind_31287	France	FR	2.39432767075193	46.6058680055316	-0.001	0.0346
ind_31744	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0259	0.047
ind_31802	Italy	IT	12.5	42	-0.0154	-0.0095
ind_32263	Swiss-French	CH	6.15	46.2	0.0103	0.0111
ind_32504	Italy	IT	12.5	42	-0.0272	-0.0056
ind_32952	Swiss-French	CH	6.15	46.2	0.0033	0.0126
ind_33340	Italy	IT	12.5	42	-0.0476	-0.0276
ind_34331	Swiss-German	CH	8.55	47.36	0.0116	-0.0033
ind_34384	Swiss-German	CH	8.55	47.36	0.0199	-0.0019
ind_34769	France	FR	2.39432767075193	46.6058680055316	0.0095	0.013
ind_34898	France	FR	2.39432767075193	46.6058680055316	0.0079	0.0162
ind_35584	France	FR	2.39432767075193	46.6058680055316	0.0064	0.0182
ind_35733	Italy	IT	12.5	42	-0.0409	-0.0202
ind_35771	Swiss-French	CH	6.15	46.2	0.0056	-0.0072
ind_36617	Swiss-French	CH	6.15	46.2	0.0059	0.0024
ind_36726	Italy	IT	12.5	42	-0.0615	-0.0262
ind_37075	Portugal	PT	-8.0163924833239	39.5909680725474	-0.019	0.0365
ind_38119	Swiss-French	CH	6.15	46.2	0.0102	1e-04
ind_38458	Swiss-German	CH	8.55	47.36	0.0053	-0.0035
ind_38711	France	FR	2.39432767075193	46.6058680055316	0.0055	0.01
ind_39411	Sweden	SE	18	59.35	0.0446	-0.0237
ind_40872	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0352	0.0066
ind_41079	Swiss-French	CH	6.15	46.2	0.0124	-0.0014
ind_41129	France	FR	2.39432767075193	46.6058680055316	0.0052	0.0195
ind_41286	Norway	NO	10.68	59.93	0.0421	0.0016
ind_41594	Italy	IT	12.5	42	-0.0467	-0.0111
ind_42750	Swiss-German	CH	8.55	47.36	0.0035	-0.0046
ind_43719	Germany	DE	10.3589016293772	51.0835556416166	0.0079	-0.0059
ind_43874	Swiss-Italian	CH	8.95	46	-0.0458	-0.02
ind_43991	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0154	0.0264
ind_44026	France	FR	2.39432767075193	46.6058680055316	0.0116	0.0016
ind_44393	Swiss-French	CH	6.15	46.2	0.0079	-0.0088
ind_44406	Italy	IT	12.5	42	-0.0096	-0.0135
ind_44410	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0195	0.0468
ind_44544	France	FR	2.39432767075193	46.6058680055316	-0.0042	0.0061
ind_45281	France	FR	2.39432767075193	46.6058680055316	0.0102	-0.0073
ind_45563	Swiss-French	CH	6.15	46.2	0.0087	-0.0115
ind_45674	Germany	DE	10.3589016293772	51.0835556416166	0.0273	-0.0133
ind_45680	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0336	-0.0014
ind_45849	Swiss-German	CH	8.55	47.36	0.0077	-5e-04
ind_45953	Swiss-French	CH	6.15	46.2	0.0075	-0.0017
ind_46852	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0204	0.0459
ind_46888	Germany	DE	10.3589016293772	51.0835556416166	0.0114	-0.0033
ind_47443	Swiss-German	CH	8.55	47.36	0.0154	-0.0049
ind_47654	Netherlands	NL	5.66711565691123	52.2661386478456	0.0229	-0.0039
ind_47666	Belgium	BE	4.61479191810973	50.6615342351454	0.0228	-0.0081
ind_48916	France	FR	2.39432767075193	46.6058680055316	0.0146	0.0035
ind_49250	France	FR	2.39432767075193	46.6058680055316	0.0078	0.0233
ind_49384	Italy	IT	12.5	42	-0.0557	-0.0183
ind_49466	Swiss-German	CH	8.55	47.36	0.0073	-0.0075
ind_555	Spain	ES	-3.56611484727657	40.3287080082217	-0.0157	0.0318
ind_937	Swiss-German	CH	8.55	47.36	0.0095	0.0064
ind_1064	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0143	0.0325
ind_1182	Germany	DE	10.3589016293772	51.0835556416166	0.0212	-0.0209
ind_1437	Swiss-German	CH	8.55	47.36	0.0083	0.006
ind_1752	Italy	IT	12.5	42	-0.0553	-0.0198
ind_1799	Swiss-French	CH	6.15	46.2	0.0054	-0.0049
ind_1852	Italy	IT	12.5	42	-0.0509	-0.0274
ind_1957	Poland	PL	19.3946076487790	52.14189866452	0.0307	-0.0514
ind_2526	Cyprus	CY	33.1996854536619	35.0981563694544	-0.0734	-0.0392
ind_3606	Germany	DE	10.3589016293772	51.0835556416166	0.04	-0.0336
ind_3645	France	FR	2.39432767075193	46.6058680055316	0.0109	0.0083
ind_4731	Austria	AT	14.1174253717318	47.59249681831	0.0029	0.0015
ind_5557	Italy	IT	12.5	42	-0.0544	-0.0183
ind_5802	France	FR	2.39432767075193	46.6058680055316	0.0174	0.0119
ind_6158	Germany	DE	10.3589016293772	51.0835556416166	0.0213	-0.0123
ind_6674	Italy	IT	12.5	42	-0.0388	-0.0115
ind_7097	Italy	IT	12.5	42	-0.0307	-6e-04
ind_7237	Swiss-German	CH	8.55	47.36	0.0048	-0.0039
ind_7578	France	FR	2.39432767075193	46.6058680055316	-3e-04	0.034
ind_7700	Swiss-French	CH	6.15	46.2	0.0026	0.0012
ind_7884	Spain	ES	-3.56611484727657	40.3287080082217	-0.0178	0.0407
ind_8044	Russian Federation	RU	37.5	55.75	0.0396	-0.0607
ind_8227	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0187	0.0417
ind_9362	Swiss-French	CH	6.15	46.2	0.0105	-0.0018
ind_10605	Germany	DE	10.3589016293772	51.0835556416166	0.0222	-0.0297
ind_10716	Italy	IT	12.5	42	-0.0158	0.0055
ind_10766	Swiss-French	CH	6.15	46.2	0.0011	0
ind_10841	Spain	ES	-3.56611484727657	40.3287080082217	-0.0141	0.0418
ind_10948	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0215	0.0449
ind_11016	France	FR	2.39432767075193	46.6058680055316	0.0202	0.0198
ind_11142	Italy	IT	12.5	42	-0.0556	-0.0175
ind_11648	Swiss-German	CH	8.55	47.36	0.0095	-0.0136
ind_11743	France	FR	2.39432767075193	46.6058680055316	-0.0117	0.0023
ind_11859	Swiss-French	CH	6.15	46.2	0.0026	0.0091
ind_11927	Swiss-German	CH	8.55	47.36	0.0076	-0.0052
ind_12437	Swiss-Italian	CH	8.95	46	-0.0191	-0.0099
ind_12472	Serbia and Montenegro	RS	20.6157230848337	43.9494926410995	-0.0027	-0.0509
ind_12561	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0135	0.0252
ind_12668	Swiss-French	CH	6.15	46.2	0.0083	-0.006
ind_12802	Spain	ES	-3.56611484727657	40.3287080082217	-0.0143	0.0345
ind_13401	Swiss-German	CH	8.55	47.36	0.0044	-0.0061
ind_13481	Swiss-French	CH	6.15	46.2	0.0106	0.0044
ind_13819	Italy	IT	12.5	42	-0.047	-0.0133
ind_14540	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0129	0.0443
ind_14664	Swiss-German	CH	8.55	47.36	0.0097	0.0077
ind_14709	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0209	0.0477
ind_15168	Swiss-French	CH	6.15	46.2	0.0079	0.004
ind_15174	Netherlands	NL	5.66711565691123	52.2661386478456	0.03	-0.002
ind_15455	Swiss-French	CH	6.15	46.2	0.0062	0.0106
ind_17861	Spain	ES	-3.56611484727657	40.3287080082217	-0.0136	0.0345
ind_18349	Spain	ES	-3.56611484727657	40.3287080082217	-0.0236	0.0463
ind_18829	France	FR	2.39432767075193	46.6058680055316	0.0031	0.0225
ind_18955	Swiss-German	CH	8.55	47.36	0.0116	-0.0038
ind_20371	Italy	IT	12.5	42	-0.047	-0.0184
ind_20940	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0289	0.0019
ind_20976	France	FR	2.39432767075193	46.6058680055316	0.0094	0.0103
ind_21063	Portugal	PT	-8.0163924833239	39.5909680725474	-0.0179	0.0483
