sampleId	country	alabels	longitude	latitude	PC1	PC2
ind_33112	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0361	0.0126
ind_33167	Italy	IT	12.5	42	-0.0244	-0.0192
ind_33673	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0275	-3e-04
ind_34118	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0306	0.0014
ind_34315	Spain	ES	-3.56611484727657	40.3287080082217	0.0021	0.0232
ind_34434	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0342	0.0175
ind_34445	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0301	0.0123
ind_34563	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0317	-0.0055
ind_34864	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0289	0.0165
ind_36529	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0301	0.0224
ind_36974	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0239	0.0087
ind_37441	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.038	0.0221
ind_37472	Poland	PL	19.3946076487790	52.14189866452	0.0419	-0.0519
ind_38238	Spain	ES	-3.56611484727657	40.3287080082217	-0.0114	0.0322
ind_38417	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0292	0.0152
ind_39249	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0227	0.0037
ind_39339	Ireland	IE	-8.18040076502755	53.1966827266848	0.0364	0.0141
ind_39775	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0248	0.0103
ind_39936	Poland	PL	19.3946076487790	52.14189866452	0.0366	-0.0542
ind_39982	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0279	0.0018
ind_41167	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0302	-0.0049
ind_41355	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0335	0.0166
ind_41895	United Kingdom	UK	-2.33119501692698	53.5432480069741	0.0382	0.0193
